feature,importance
NACCDIED,0.11407155839984275
NACCNVST,0.07983262858902121
NACCAVST,0.02864845507162672
INRELTO,0.026831221926224533
MARISTAT,0.018019709684407168
EDUC,0.015277246214103249
PACKET_T,0.01487038332717963
EDUC_LEVEL,0.01407823928232891
VISITYR,0.01223164089094452
SEX,0.011039385470676925
BIRTHYR,0.010726415710994067
BMI,0.010305655102811591
FORMVER,0.009236941307736848
WEIGHT,0.008234539275384822
AGE_AT_VISIT,0.008135777810025217
NACCVNUM,0.007728720729944226
HEIGHT,0.006148896169728112
RACE,0.005330503574827665
INBIRYR,0.004964155738644848
AGE_AT_VISIT EDUC,0.0047838446072042485
EDUC BMI,0.0046058495967855944
VISWCORR,0.0038031383148577264
HEARWAID,0.0033735923462867973
AGE_AT_VISIT BMI,0.003062288717394535
VISCORR,0.002972887218681897
PACKET_I,0.0024548386345928496
INBIRMO,0.0024241949726346974
BPSYS,0.0023721206977671094
HRATE,0.0018543772070815886
HEARAID,0.0018363135933757093
BIRTHMO,0.001592825763110494
VISITDAY,0.0012381301496261995
INSEX,0.001156649836864906
VISITMO,0.0010387427611641305
HEARING,0.0009036676926708694
VISION,0.0008109119078942124
HISPANIC,0.0006357954016505377
HIGH_BP,0.00044457593948893826
HANDED,0.00034514380605605384
PACKET_IT,1.398035409945345e-05
